ID,Corr
1,0.849585918349
2,0.750617083293
3,0.665078655361
4,0.52381120046
5,0.480618688735
6,0.475632329515
7,0.375707783424
8,0.321242692824
9,1.0
10,0.867481640528
11,0.938638585954
12,0.593218047052
13,0.70854699307
14,0.810920233249
15,0.877613527805
16,0.687109141196
17,0.763141543371
18,0.879499799492
19,0.786489475563
20,0.57731010387
21,0.864653851106
22,0.844989169703
23,0.742275301871
24,0.723873421147
25,0.545068538298
26,0.463606824107
27,-0.268323769236
28,-0.393872107293
29,-0.265076618143
