ID,Corr
1,0.275942773776
2,1.0
3,0.765798419448
4,0.48714833627
5,0.293334667638
6,0.804983877736
7,0.229535095158
8,0.137970440546
9,0.639138133694
10,0.378040924045
11,0.375606465378
12,0.217532335504
13,0.195659586828
14,0.247729611722
15,0.289920032965
16,0.16253351301
17,0.210451744532
18,0.314369662633
19,0.180415381226
20,0.0693931618014
21,0.377749401841
22,0.345806376112
23,0.336556013213
24,0.329991441742
25,0.306914479058
26,0.514911384225
27,0.146010409079
28,-0.0302939389675
29,0.048146660617
