ID,Corr
1,0.325901352321
2,0.343515059678
3,0.213921752806
4,0.325365557332
5,0.240394687757
6,0.334055633561
7,0.296897506823
8,0.173341898075
9,0.336124443633
10,0.26024501986
11,0.283117714742
12,0.107078803794
13,0.149586262472
14,0.242703819903
15,0.400062890454
16,0.321589757176
17,0.4894956103
18,0.349421866173
19,0.402598426694
20,0.47927267264
21,0.403735722549
22,0.37874574522
23,0.313050351592
24,0.295168075006
25,0.223156331607
26,0.412896590586
27,1.0
28,0.374154340635
29,0.128979245938
