ID,Corr
1,0.405671606036
2,0.836449424289
3,0.846724396347
4,0.639679588237
5,0.400610160164
6,1.0
7,0.358256215196
8,0.192573793354
9,0.70700893803
10,0.355042975898
11,0.323947845792
12,0.189618167847
13,0.184592751585
14,0.263300723866
15,0.338370080931
16,0.296244044163
17,0.348427524794
18,0.368151768555
19,0.235858966553
20,0.24211910377
21,0.297897263709
22,0.356054754137
23,0.324276228044
24,0.35058538356
25,0.507073161741
26,0.786891717462
27,0.235873990511
28,0.114543785512
29,0.0580739256849
