ID,Corr
1,0.695319895921
2,0.199076856136
3,0.0748275029264
4,-0.0349125148575
5,-0.0175286852
6,-0.0117039512429
7,-0.0214507646527
8,0.009984406981
9,0.433038963843
10,0.655013854265
11,0.60433536723
12,0.528930275024
13,0.333564742868
14,0.457736916832
15,0.735388634352
16,0.764817295967
17,0.772418466554
18,0.78567686527
19,1.0
20,0.814025246336
21,0.50022672722
22,0.614795535306
23,0.307343860055
24,0.330033702371
25,0.170886157225
26,0.0347189079067
27,0.221949706895
28,0.334570435486
29,0.10774668067
