lat,lon
37.78748615720421,-122.418368839172
37.7652491154428,-122.416389710291
37.7907880214222,-122.419039119337
37.787885489615505,-122.412032359787
37.787063186215,-122.417634160005
37.7873381901532,-122.423404604063
37.7604330003754,-122.415929849548
37.761967421810205,-122.41718044863501
37.7586968166489,-122.41796448376002
37.7636337702985,-122.41623039254299
37.784449661279105,-122.41607528505101
37.7923840813583,-122.42105687821001
37.7874861572271,-122.418368839165
37.7537998587186,-122.40353222430299
37.7908244663738,-122.418219833881
37.758764020113205,-122.416872883664
37.7636337702985,-122.41623039254299
37.7870372043685,-122.41827417166
37.7636337702985,-122.41623039254299
37.7638222259421,-122.41359169556101
37.7620990020727,-122.415000536794
37.784449661256204,-122.416075285059
37.758764020113205,-122.416872883664
37.775420706711,-122.40340479147899
37.7605000725995,-122.41484513920601
37.785583058846996,-122.414619686906
37.784449661256204,-122.416075285059
37.7870372043685,-122.41827417166
37.7636337702985,-122.41623039254299
37.790807251861295,-122.41164300533899
37.791494305190604,-122.420874632415
37.7604330003754,-122.415929849548
37.7594801325769,-122.41810892585899
37.784449661279105,-122.41607528505101
37.763495437314404,-122.418486296575
37.7621213524354,-122.415543548355
37.7870372043685,-122.41827417166
37.7874861572271,-122.418368839165
37.7636337703031,-122.416230392551
37.78748615720421,-122.418368839172
37.7636979308883,-122.415155941054
37.7639259195338,-122.40546877590599
37.7644225165568,-122.416374835778
37.7571677817188,-122.416720982004
37.7652491154428,-122.416389710291
37.7903690688591,-122.422330464205
37.78890983991921,-122.418658294837
37.7854574902997,-122.400916029025
37.760265222958104,-122.419623543912
37.765109878622205,-122.418701003284
37.78537508463761,-122.416261836834
37.78537508463761,-122.416261836834
37.7872807075879,-122.420021471054
37.7605000725995,-122.41484513920601
37.7660406107786,-122.41653546307501
37.790577071053704,-122.420691680792
37.765181803995105,-122.417488323647
37.7879652569797,-122.418467747931
37.7636337702985,-122.41623039254299
37.787920937553295,-122.410882825551
37.791494305190604,-122.420874632415
