ID,Corr
1,0.364328204526
2,0.188429492486
3,0.0682667791438
4,0.0423254382453
5,0.00438901327335
6,0.024809060034
7,0.00808597022584
8,0.0067443909075
9,0.489045768767
10,0.461773098419
11,0.350549612518
12,1.0
13,0.31833889089
14,0.352288460001
15,0.382283408119
16,0.34342899487
17,0.407700101194
18,0.382765145877
19,0.291649910238
20,0.374182871867
21,0.352482392771
22,0.342117963196
23,0.248025364398
24,0.191797855977
25,0.147423743908
26,-0.0117866821042
27,0.0221766143823
28,0.132834397253
29,0.00359791022389
