ID,Corr
1,0.759370821381
2,0.287589728329
3,0.0240909190896
4,0.121332622784
5,0.00564559049076
6,0.00148913681107
7,0.0303487191365
8,0.018863720193
9,0.684181115594
10,0.788077113099
11,0.753929157822
12,0.635077253823
13,0.576011706075
14,0.561414905266
15,1.0
16,0.818483686649
17,0.791884296025
18,0.821809639714
19,0.7912082597
20,0.799405897927
21,0.691610960124
22,0.69709375583
23,0.496773170419
24,0.434711553554
25,0.347621962605
26,0.134089188255
27,0.391037119711
28,0.551917229469
29,0.0083904660577
