ID,Corr
1,0.747130168407
2,0.457588583912
3,0.122242276989
4,0.296614732929
5,0.113616046625
6,0.100188924428
7,0.027090319873
8,0.0126910045846
9,0.566738003364
10,0.709998303404
11,0.762418150987
12,0.50943289976
13,0.488163341335
14,0.506998745492
15,0.732982699132
16,0.733373003901
17,0.636695914077
18,1.0
19,0.802360863205
20,0.726247385954
21,0.650261586438
22,0.765112360198
23,0.532139955608
24,0.602618214207
25,0.373654421794
26,0.126690106882
27,0.192882394097
28,0.399933922852
29,0.00550234938766
